Bin information for iteration 251
960 segments
206 bins total, 0 targets, 120 (58.252%) occupied
Minimum probability by bin:     5.01359613556285710e-72
Maximum probability by bin:     1.00000000000000000e+00
Dynamic range (by bin):         164.174 kT
Minimum probability by segment: 6.26699516945357012e-73
Maximum probability by segment: 1.77269362199033942e-01
Dynamic range (by segment):     164.523 kT
Norm = 1, error in norm = -1.11022e-16 (0 epsilon)

 Index     Count    Total weight               Min seg weight             Max seg weight             Weight ratio    Label
   143         8    3.49241907052154185e-67    2.39972719539483016e-68    7.72604025935078190e-68         3.21955    [(2.5, 2.51)]
   144         8    3.70463213020169312e-67    1.30165948361535797e-68    7.27949703825417239e-68         5.59247    [(2.51, 2.52)]
   145         8    3.09040548343188968e-67    2.95707925331942179e-68    5.23953502246085311e-68         1.77186    [(2.52, 2.53)]
   146         8    4.01289070311077484e-67    3.24105320711027398e-68    7.65421563213017415e-68         2.36164    [(2.53, 2.54)]
   147         8    6.57162526182258843e-67    3.58935389103497153e-68    1.51373508599795827e-67         4.21729    [(2.54, 2.55)]
   148         8    4.45586111156167105e-67    3.58377818357436954e-68    8.87123775995826495e-68         2.47539    [(2.55, 2.56)]
   149         8    5.08671911785152185e-67    4.54968564890885733e-68    1.00892902903150836e-67         2.21758    [(2.56, 2.57)]
   150         8    4.70693845286070604e-67    2.86404604517862344e-68    9.16345456511771370e-68         3.19948    [(2.57, 2.58)]
   151         8    4.30033214491987396e-67    3.05041999861116895e-68    9.99372580315368779e-68         3.27618    [(2.58, 2.59)]
   152         8    1.60439556845856126e-67    1.79331172371425990e-68    3.31664397223285019e-68         1.84945    [(2.59, 2.6)]
   153         8    4.87308615994469723e-67    3.61491129722895909e-68    1.07870466782597122e-67         2.98404    [(2.6, 2.61)]
   154         8    7.01325910518567437e-51    8.10980270068547539e-52    1.33639721470584337e-51         1.64788    [(2.61, 2.62)]
   155         8    2.10529942685586793e-49    2.33872172333206657e-50    4.67744344666413314e-50         2.00000    [(2.62, 2.63)]
   156         8    7.49725779392029294e-51    8.52410552695716023e-52    1.53038392505028227e-51         1.79536    [(2.63, 2.64)]
   157         8    2.50200179190736645e-50    2.96081660740787040e-51    3.76888472258128062e-51         1.27292    [(2.64, 2.65)]
   158         8    8.41843423125396203e-51    9.56191946575458982e-52    1.44980580996251960e-51         1.51623    [(2.65, 2.66)]
   159         8    4.15699908535034326e-49    4.55350423302640164e-50    9.10700846605280328e-50         2.00000    [(2.66, 2.67)]
   160         8    3.80574025115161479e-51    4.75717531393951775e-52    4.75717531393951923e-52         1.00000    [(2.67, 2.68)]
   161         8    4.16767141944604624e-49    4.55350423302640164e-50    9.10700846605280328e-50         2.00000    [(2.68, 2.69)]
